nursery_id,item_code,common_name,scientific_name,description,container_size,container_type,quantity_available,wholesale_price,retail_price,location_code,category,plant_type,flower_color,published_height,published_spread,picture_1_url,sun_requirements,water_requirements,hardiness_zone,native_status,availability_date,notes
CHERRYLAKE,ELADE00TC045,Japanese Blueberry CT,Elaeocarpus decipiens CT,"10' X 3' X 3"" / Consistent height",45,Gallon,750,212.0,,FA,Elaeocarpus,Tree,,10',3',https://cherrylake.com/images/web_photos/elade00tc045_a_1.jpg,Variable,Medium,,Non-native,,Origin: East Asia
CHERRYLAKE,ELADE00TC045,Japanese Blueberry CT,Elaeocarpus decipiens CT,"11' X 3' X 2.5"" / Consistent height, good branching structure",45,Gallon,8,150.0,,FP,Elaeocarpus,Tree,,11',3',https://cherrylake.com/images/web_photos/elade00tc045_p_1.jpg,Variable,Medium,,Non-native,,"Availability: Limited Qty, Origin: East Asia"
CHERRYLAKE,ELAPO00FX003,Silverthorn FTG,,"24"" X 24"" X 0"" /",1,Gallon,202,0.0,,FA,Shrub,Shrub,,"24""","24""",https://cherrylake.com/images/web_photos/elapo00fx003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ERIJALOTC015,Loquat CT,,"8.5' X 3' X 1.5"" /",15,Gallon,33,60.0,,FA,Loquat,Tree,,8.5',3',https://cherrylake.com/images/web_photos/erijalotc015_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ERIJALOTC015,Loquat CT,,"8' X 4' X 1.5"" / Not all consistent in spread or height.",15,Gallon,12,45.0,,FD,Loquat,Tree,,8',4',https://cherrylake.com/images/web_photos/erijalotc015_d_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,ERIJALOTC030,Loquat CT,Eriobotrya japonica 'Loquat' CT,"10' X 4' X 1.5"" /",30,Gallon,10,127.15,,FA,Loquat,Tree,,10',4',https://cherrylake.com/images/web_photos/erijalotc030_a_1.jpg,Variable,Medium,,Non-native,,"Availability: Limited Qty, Origin: China and Japan"
CHERRYLAKE,ERIJALOTC030,Loquat CT,Eriobotrya japonica 'Loquat' CT,"10' X 6' X 2.5"" / small scars / inconsistent high",30,Gallon,2,97.5,,FD,Loquat,Tree,,10',6',https://cherrylake.com/images/web_photos/erijalotc030_d_1.jpg,Variable,Medium,,Non-native,,"Availability: Limited Qty, Origin: China and Japan"
CHERRYLAKE,EURSS00TC030,European Olive STD,Olea Europae ssp,"8' X 5' X 1.5"" / *NON-CORE* / Full canopy",30,Gallon,22,222.88,,FA,Olive European,Tree,,8',5',https://cherrylake.com/images/web_photos/eurss00tc030_a_1.jpg,Variable,Medium,,Unknown,,Origin: Mediterranean
CHERRYLAKE,EURSS00TC030,European Olive STD,Olea Europae ssp,"11' X 4' X 2.5"" / *NON-CORE* / Consistent branching, minimum / *NON-CORE* / large trunk & collar sca",30,Gallon,10,173.25,,FD,Olive European,Tree,,11',4',https://cherrylake.com/images/web_photos/eurss00tc030_d_1.jpg,Variable,Medium,,Unknown,,"Availability: Limited Qty, Origin: Mediterranean"
CHERRYLAKE,ILEATEAFBB10,Eagleston FTG,Ilex attenuata,"10' X 4' X 2"" / Small-medium voids","10""",Ball & Burlap,40,454.15,,FA,Holly Full To Ground,Tree,,10',,https://cherrylake.com/images/web_photos/ileateafbb10_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ILEATEAFBB12,Eagleston FTG,Ilex attenuata,"12' X 4' X 2.5"" / Small-medium voids","12""",Ball & Burlap,39,525.0,,FA,Holly Full To Ground,Tree,,12',,https://cherrylake.com/images/web_photos/ileateafbb12_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ILEATEAFC030,Eagleston FTG,Ilex x attenuata 'Eagleston' FTG,"8' X 4' X 2"" /",30,Gallon,0,135.0,,FA,Shrub,Tree,,8',4',https://cherrylake.com/images/web_photos/ileateafc030_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ILEATEAFC030,Eagleston FTG,Ilex x attenuata 'Eagleston' FTG,"8' X 4' X 2"" / Consistent,full",30,Gallon,488,109.0,,FP,Shrub,Tree,,8',4',https://cherrylake.com/images/web_photos/ileateafc030_p_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ILEATEAFC045,Eagleston FTG,Ilex x attenuata 'Eagleston' FTG,"10' X 4' X 2.5"" / Consistent branching.",45,Gallon,208,325.0,,FA,Shrub,Tree,,10',4',https://cherrylake.com/images/web_photos/ileateafc045_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ILEATEAFC045,Eagleston FTG,Ilex x attenuata 'Eagleston' FTG,"10' X 5' X 2.5"" / Consistent, full canopy",45,Gallon,169,225.0,,FP,Shrub,Tree,,10',5',https://cherrylake.com/images/web_photos/ileateafc045_p_1.jpg,Variable,Medium,,Native,,
